Wetland,Habitat,Time,PopulationSize
9,Marsh,6,40.990744686038596
9,Marsh,8,46.93428546900135
9,Swamp,0,60.952278129049894
9,Swamp,2,35.04731837434656
9,Swamp,4,27.16851135198614
9,Swamp,6,20.498256825438204
9,Swamp,8,7.482621729419003
9,Pond,0,32.24668284466934
9,Pond,2,36.34281487403014
9,Pond,4,26.688481431369475
9,Pond,6,30.36796215317591
9,Pond,8,19.402878828830985
10,Marsh,0,67.7496720250877
10,Marsh,2,52.08373353831882
10,Marsh,4,50.38969241897162
10,Marsh,6,52.06758608684835
10,Marsh,8,37.84567841783022
10,Swamp,0,51.13729967302065
10,Swamp,2,46.53571377141214
10,Swamp,4,21.96258382719386
10,Swamp,6,20.92316929266152
10,Swamp,8,11.299413971242117
10,Pond,0,43.909114358886555
10,Pond,2,29.81524644560959
10,Pond,4,25.397716934578618
10,Pond,6,30.60970782808449
10,Pond,8,25.48492336616593
11,Marsh,0,61.252464251729386
11,Marsh,2,57.73224104748488
11,Marsh,4,48.59987639210755
11,Marsh,6,49.16126848580502
11,Marsh,8,45.46536236649341
11,Swamp,0,46.42824290986816
11,Swamp,2,49.328872555723784
11,Swamp,4,32.36916460455894
11,Swamp,6,14.043482513986756
11,Swamp,8,13.282768043169149
11,Pond,0,35.126591648863396
11,Pond,2,39.93542301871226
11,Pond,4,37.79297789503702
11,Pond,6,23.89658840824145
11,Pond,8,28.81688064622161
12,Marsh,0,62.063904634682494
12,Marsh,2,60.11030079997245
12,Marsh,4,61.48396491326974
12,Marsh,6,46.77305941998565
12,Marsh,8,40.23131917821255
12,Swamp,0,45.55242785187238
12,Swamp,2,35.92094857517281
12,Swamp,4,29.614491452929478
12,Swamp,6,21.70575987408322
12,Swamp,8,11.383453996650095
12,Pond,0,44.13591624518012
12,Pond,2,36.065009459389536
12,Pond,4,39.26767038578659
12,Pond,6,26.67671583381022
12,Pond,8,37.600845832948096
13,Marsh,0,63.128336738825034
13,Marsh,2,51.714212217918586
13,Marsh,4,46.645537509694435
13,Marsh,6,50.41236207621593
13,Marsh,8,42.88268607337075
13,Swamp,0,53.57000247046046
13,Swamp,2,42.366188122867726
13,Swamp,4,29.635855436715637
13,Swamp,6,15.766031409657975
13,Swamp,8,2.4257638765706773
13,Pond,0,37.767425239664895
13,Pond,2,40.28199397161736
13,Pond,4,33.07046872065102
13,Pond,6,21.771306106440058
13,Pond,8,24.86590462925591
14,Marsh,0,61.92658689864418
14,Marsh,2,51.580712818994336
14,Marsh,4,52.768625529727636
14,Marsh,6,48.29104359223
14,Marsh,8,38.28514851084688
14,Swamp,0,51.788936801741414
14,Swamp,2,42.803922631841175
14,Swamp,4,35.41525621587638
14,Swamp,6,25.269010260174515
14,Swamp,8,3.1116531602145443
14,Pond,0,35.310874800424386
14,Pond,2,38.5751763360433
14,Pond,4,34.56892975456105
14,Pond,6,30.575238431530238
14,Pond,8,43.26365745327361
15,Marsh,0,62.85445255346583
15,Marsh,2,61.677828200902994
15,Marsh,4,56.770008817466014
15,Marsh,6,51.25695625652899
15,Marsh,8,42.423653776798275
15,Swamp,0,53.79484610246634
15,Swamp,2,36.13587392731214
15,Swamp,4,28.815906966299956
15,Swamp,6,17.573182260854484
15,Swamp,8,10.409370696931612
15,Pond,0,51.573292833367546
15,Pond,2,26.66367403704126
15,Pond,4,35.431300951872565
15,Pond,6,19.936420644051744
15,Pond,8,21.640340671052833
